Região de Saúde,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
31003,26.45,30.73,30.01,33.51,33.68,38.73,39.51,41.40,41.00,39.68,40.34,39.44
31004,33.47,33.51,30.56,25.52,15.95,14.58,14.84,18.81,23.48,23.41,20.80,8.79
31005,30.72,20.14,19.70,30.15,28.65,28.65,33.66,37.29,53.69,58.39,58.35,53.52
31006,30.70,27.92,31.77,32.58,30.26,30.91,31.34,32.30,29.41,35.64,37.64,39.72
31007,51.40,48.41,46.49,40.70,40.52,33.88,44.22,47.52,47.29,42.33,43.26,42.64
31008,42.79,48.10,49.05,53.15,52.33,51.96,48.77,50.16,50.95,51.04,50.92,53.47
31009,22.18,31.39,37.20,31.91,32.57,39.52,32.82,54.36,57.55,58.78,62.71,66.57
31010,49.56,47.86,47.93,35.37,30.90,26.50,22.74,19.79,29.68,18.34,15.16,8.41
31011,20.08,25.56,22.20,23.29,23.77,23.67,23.96,37.93,50.30,55.46,52.55,36.43
31012,42.24,29.90,24.99,26.10,26.57,23.29,19.70,12.66,14.43,15.15,15.11,13.50
31013,9.80,13.68,21.02,27.23,42.31,44.01,41.70,40.01,38.35,36.87,48.95,45.76
31014,60.08,55.20,54.30,53.85,50.17,37.76,42.45,46.53,47.53,44.22,44.82,46.48
31015,44.30,62.58,62.43,63.29,62.13,61.17,56.35,53.47,53.25,51.67,51.44,59.68
31016,17.84,25.24,38.76,48.23,34.06,32.64,17.91,20.65,24.76,26.12,36.41,19.61
31017,22.62,27.55,33.18,39.80,37.92,51.83,56.35,64.93,62.57,74.52,73.90,62.31
31018,54.52,57.92,60.67,66.03,62.27,61.97,61.13,61.35,61.04,62.19,60.12,62.92
31019,30.40,22.80,32.21,32.23,32.78,33.94,34.26,41.34,53.21,52.34,50.33,52.31
31020,25.78,32.88,31.86,22.58,21.51,22.51,25.79,31.61,39.55,42.32,38.16,30.01
31021,34.99,34.19,26.83,16.06,12.34,12.57,10.39,7.58,11.84,12.56,18.04,12.94
31022,28.51,20.18,16.41,22.54,23.87,16.79,14.88,22.01,25.50,25.40,21.32,21.54
31023,18.83,19.91,20.63,24.34,23.85,14.03,9.36,9.25,9.72,11.32,11.22,13.91
31024,25.76,25.66,19.82,15.12,14.58,11.06,10.07,15.70,18.81,16.74,15.75,12.19
31025,30.00,27.46,27.94,36.37,40.48,39.30,39.57,45.22,42.06,42.59,31.49,29.20
31026,29.46,28.43,33.84,41.38,35.89,35.35,37.94,34.91,36.03,40.22,39.68,65.20
31027,24.70,26.47,26.47,27.71,25.97,25.77,24.48,33.00,35.66,39.70,42.13,47.18
31028,42.12,27.65,32.27,46.29,36.36,38.07,39.58,37.86,40.03,38.06,39.94,37.08
31029,52.79,51.97,58.93,65.11,65.07,68.92,68.47,74.56,81.91,80.49,79.58,84.40
31030,26.45,26.51,20.48,21.05,9.51,8.28,17.70,26.15,22.94,14.09,11.27,14.41
31031,55.13,55.88,55.39,52.58,51.01,53.81,51.29,56.69,64.49,61.89,56.92,55.15
31032,37.50,37.79,38.35,36.90,37.08,35.84,34.45,34.97,30.00,25.77,22.26,12.33
31033,22.10,20.45,19.24,20.69,18.75,17.94,15.66,22.20,27.50,33.01,31.35,26.66
31034,20.04,21.01,33.51,35.97,22.58,24.28,40.57,64.33,74.68,69.50,50.43,47.45
31035,47.42,43.37,37.97,43.51,60.33,62.61,55.23,58.60,67.69,65.52,58.40,64.04
31036,59.07,53.48,41.20,43.06,45.60,51.97,54.63,60.60,45.99,28.47,30.51,26.90
31037,53.27,58.79,57.29,51.88,52.83,56.27,54.27,57.77,61.04,61.56,62.77,62.73
31038,17.99,22.02,18.71,18.85,20.66,23.22,24.61,21.47,17.64,17.53,18.32,18.73
31039,26.09,24.84,14.07,11.12,11.46,14.83,14.52,13.18,14.21,12.16,11.57,22.99
31040,54.80,76.59,68.27,82.05,68.40,72.64,60.53,68.55,83.98,93.76,83.07,28.61
31041,40.96,38.03,33.87,33.08,31.16,32.22,32.77,31.11,30.93,30.19,29.94,26.15
31042,35.88,40.59,50.14,28.37,26.86,25.36,13.24,12.74,2.82,0.00,0.00,0.00
31043,30.56,19.90,7.69,14.91,16.52,14.78,15.90,16.09,16.82,15.95,14.82,12.82
31044,24.61,9.89,13.93,19.28,19.16,23.28,22.15,20.77,32.35,32.80,30.73,29.15
31045,19.95,14.04,12.14,11.78,9.71,7.85,6.02,6.19,7.11,8.80,10.09,6.91
31046,47.35,39.26,40.73,51.93,52.08,54.15,52.25,55.65,55.74,47.31,45.49,45.72
31047,10.82,13.41,25.59,38.85,43.95,56.51,58.83,61.83,65.72,63.95,41.37,32.36
31048,45.41,31.26,41.12,59.19,45.60,46.53,42.30,43.18,38.22,34.36,31.60,31.91
31049,43.82,40.73,34.10,33.28,32.51,33.61,35.07,38.05,40.39,41.29,40.68,38.69
31050,46.80,45.05,45.11,45.92,44.21,44.69,41.50,43.80,46.54,47.78,47.88,43.35
31051,62.73,60.97,60.58,60.53,54.61,51.92,45.13,49.13,57.43,55.61,54.39,48.57
31052,25.66,30.29,30.22,34.73,36.01,35.65,35.64,35.27,30.95,27.38,30.48,30.35
31053,43.25,26.89,10.89,7.78,7.75,8.37,7.47,21.07,32.71,24.59,22.05,9.90
31054,34.41,39.52,39.27,42.16,39.08,37.22,34.57,36.45,40.61,41.78,39.78,38.04
31055,26.14,34.47,49.63,53.43,54.12,53.57,50.86,48.72,53.99,55.62,45.72,49.49
31056,54.97,53.57,38.83,30.63,24.85,20.96,13.33,16.56,13.97,11.82,12.45,11.64
31057,43.20,46.09,52.68,54.57,53.77,53.73,58.42,59.05,65.54,64.92,65.06,62.54
31058,47.25,59.87,66.57,62.87,52.27,54.15,49.62,42.60,39.99,39.59,39.56,35.83
31059,38.98,34.43,27.53,25.93,18.45,18.88,17.13,22.05,27.09,26.19,26.09,23.15
31060,29.35,41.48,48.52,42.49,40.29,41.70,37.07,29.12,33.00,40.10,41.43,47.10
31061,45.49,37.77,30.67,27.79,26.65,26.88,24.66,26.19,25.42,25.31,25.21,23.48
31062,42.00,54.78,54.82,54.82,42.31,42.34,63.64,74.57,82.28,97.71,94.50,96.54
31063,49.23,48.00,51.76,52.96,53.45,48.71,48.33,53.40,57.04,51.11,52.55,62.59
31064,40.84,54.36,57.68,64.54,65.69,66.38,63.70,54.21,52.60,54.66,52.17,55.86
31065,25.72,29.16,26.90,26.08,37.12,27.21,24.91,27.73,29.13,31.04,29.67,30.48
31066,24.22,22.33,24.75,23.33,23.25,19.58,19.74,19.13,25.40,35.32,31.26,31.85
31067,35.16,40.96,39.44,45.39,45.75,43.00,42.71,51.61,58.34,58.08,56.34,58.48
31068,28.76,39.35,43.92,37.50,30.92,28.57,41.53,49.16,45.00,43.69,44.31,51.77
31069,27.30,30.16,30.90,31.46,26.74,26.84,30.75,28.77,29.35,22.13,19.76,21.10
31070,21.89,23.56,29.46,29.91,28.16,23.67,18.65,13.54,24.35,28.49,29.98,31.95
31071,42.48,47.02,44.91,38.50,40.15,37.96,37.12,36.53,32.00,32.96,31.38,33.58
31072,7.37,9.35,9.67,11.80,9.53,5.99,5.07,5.59,5.86,4.74,7.12,5.30
31073,25.95,26.26,26.11,27.98,28.15,29.17,28.11,31.58,32.87,30.98,31.18,32.20
31074,44.21,40.09,37.52,37.39,40.78,40.24,37.51,43.83,51.19,56.26,59.08,62.63
31075,13.54,18.63,19.02,15.95,19.61,30.88,37.29,44.48,46.17,47.01,47.86,48.04
31076,69.60,69.90,60.81,64.26,63.02,61.71,58.49,55.34,52.63,50.66,47.84,51.70
31077,38.31,30.41,27.45,36.86,32.35,22.05,18.36,20.70,24.96,32.08,34.34,42.11
32001,20.75,13.52,14.07,13.77,16.98,21.56,22.83,28.73,35.95,36.38,37.59,50.70
32002,21.82,19.80,17.91,18.09,18.75,17.14,17.76,21.40,21.19,21.36,20.20,21.66
