CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
28002,0.82,0.84,0.88,0.9,0.87,0.92,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96
28003,0.83,0.88,0.92,0.94,0.95,0.94,0.96,0.97,0.97,0.97,0.98,0.97,0.97,0.98,0.98,0.98
28004,0.8,0.8,0.86,0.88,0.9,0.9,0.93,0.94,0.95,0.95,0.93,0.95,0.95,0.95,0.94,0.92
28005,0.79,0.84,0.83,0.91,0.92,0.9,0.93,0.94,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.97
28006,0.76,0.84,0.9,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.96,0.96,0.97,0.96,0.96,0.96
28007,0.84,0.85,0.92,0.94,0.96,0.95,0.97,0.97,0.96,0.97,0.98,0.99,0.99,0.99,0.98,0.99
29001,0.69,0.7,0.74,0.78,0.8,0.8,0.82,0.85,0.87,0.88,0.89,0.91,0.92,0.91,0.93,0.93
29002,0.85,0.85,0.85,0.86,0.88,0.88,0.89,0.89,0.93,0.91,0.93,0.92,0.92,0.91,0.92,0.93
29003,0.85,0.85,0.86,0.92,0.87,0.94,0.95,0.95,0.96,0.97,0.97,0.98,0.98,0.97,0.98,0.98
29004,0.73,0.73,0.74,0.77,0.77,0.78,0.82,0.84,0.84,0.85,0.87,0.88,0.88,0.89,0.92,0.91
29005,0.73,0.68,0.75,0.81,0.84,0.86,0.89,0.91,0.91,0.89,0.91,0.93,0.93,0.95,0.96,0.97
29006,0.76,0.78,0.81,0.83,0.86,0.87,0.88,0.89,0.89,0.89,0.9,0.9,0.91,0.91,0.93,0.94
29007,0.81,0.83,0.85,0.86,0.87,0.88,0.91,0.92,0.93,0.93,0.93,0.92,0.91,0.9,0.92,0.94
29008,0.63,0.68,0.69,0.71,0.79,0.82,0.85,0.88,0.87,0.88,0.9,0.91,0.91,0.92,0.95,0.96
29009,0.61,0.64,0.73,0.74,0.75,0.79,0.79,0.83,0.83,0.83,0.84,0.83,0.86,0.87,0.88,0.89
29010,0.8,0.83,0.85,0.89,0.9,0.9,0.89,0.91,0.93,0.93,0.91,0.93,0.94,0.93,0.94,0.95
29011,0.63,0.61,0.68,0.74,0.75,0.76,0.8,0.82,0.85,0.85,0.87,0.89,0.91,0.92,0.92,0.92
29012,0.72,0.74,0.77,0.76,0.78,0.81,0.83,0.86,0.88,0.87,0.88,0.88,0.9,0.89,0.9,0.89
29013,0.78,0.77,0.79,0.81,0.84,0.84,0.87,0.89,0.88,0.88,0.9,0.9,0.9,0.91,0.91,0.92
29014,0.8,0.82,0.84,0.86,0.86,0.87,0.9,0.92,0.93,0.94,0.93,0.95,0.95,0.95,0.94,0.92
29015,0.73,0.74,0.79,0.81,0.83,0.84,0.86,0.86,0.87,0.88,0.89,0.9,0.9,0.9,0.91,0.91
29016,0.82,0.81,0.81,0.87,0.89,0.9,0.91,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92
29017,0.67,0.7,0.78,0.88,0.89,0.88,0.9,0.92,0.94,0.92,0.93,0.94,0.95,0.95,0.94,0.95
29018,0.7,0.77,0.83,0.84,0.86,0.85,0.87,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.9,0.92
29019,0.76,0.77,0.81,0.84,0.87,0.87,0.9,0.92,0.93,0.93,0.94,0.93,0.91,0.93,0.94,0.94
29020,0.69,0.73,0.76,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.87,0.88,0.87,0.86,0.79
29021,0.71,0.84,0.84,0.88,0.89,0.89,0.92,0.92,0.91,0.94,0.93,0.95,0.95,0.95,0.95,0.96
29022,0.71,0.73,0.79,0.82,0.83,0.84,0.87,0.88,0.91,0.92,0.93,0.92,0.93,0.94,0.94,0.97
29023,0.8,0.84,0.83,0.86,0.85,0.86,0.87,0.88,0.89,0.89,0.89,0.9,0.9,0.89,0.89,0.9
29024,0.75,0.79,0.81,0.82,0.84,0.83,0.85,0.88,0.88,0.9,0.91,0.92,0.93,0.93,0.93,0.94
29025,0.71,0.71,0.74,0.77,0.79,0.79,0.85,0.86,0.87,0.88,0.88,0.89,0.9,0.91,0.92,0.92
29026,0.73,0.73,0.81,0.83,0.83,0.83,0.87,0.89,0.9,0.89,0.9,0.91,0.91,0.92,0.93,0.93
29027,0.66,0.66,0.7,0.73,0.75,0.77,0.79,0.82,0.84,0.84,0.86,0.88,0.89,0.88,0.88,0.91
29028,0.71,0.75,0.79,0.81,0.85,0.83,0.85,0.86,0.87,0.89,0.89,0.89,0.91,0.91,0.92,0.92
31001,0.89,0.91,0.9,0.92,0.91,0.91,0.92,0.93,0.96,0.94,0.97,0.97,0.96,0.96,0.98,0.97
31002,0.84,0.81,0.85,0.9,0.92,0.96,0.95,0.97,0.97,0.98,0.96,0.94,0.95,0.97,0.97,1.0
31003,0.83,0.85,0.86,0.9,0.93,0.93,0.93,0.94,0.94,0.93,0.94,0.92,0.91,0.92,0.93,0.94
31004,0.89,0.87,0.84,0.92,0.95,0.94,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.99
31005,0.85,0.9,0.88,0.92,0.93,0.91,0.91,0.94,0.94,0.94,0.94,0.95,0.93,0.96,0.96,0.96
31006,0.85,0.89,0.92,0.96,0.95,0.95,0.94,0.94,0.94,0.94,0.93,0.9,0.9,0.91,0.89,0.92
31007,0.87,0.77,0.83,0.87,0.88,0.91,0.93,0.93,0.94,0.94,0.94,0.93,0.94,0.96,0.97,0.96
31008,0.85,0.87,0.89,0.91,0.92,0.63,1.04,0.92,0.85,0.95,0.93,0.92,0.9,0.87,0.97,0.96
31009,0.78,0.87,0.9,0.91,0.92,0.92,0.93,0.92,0.9,0.91,0.93,0.92,0.91,0.91,0.92,0.91
31010,0.84,0.85,0.91,0.93,0.94,0.93,0.92,0.93,0.92,0.91,0.9,0.9,0.9,0.91,0.92,0.95
31011,0.87,0.83,0.91,0.94,0.94,0.96,0.95,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.98
31012,0.9,0.88,0.95,0.95,0.93,0.92,0.94,0.94,0.96,0.96,0.97,0.98,0.97,0.97,0.98,0.97
31013,0.91,0.86,0.89,0.89,0.89,0.87,0.91,0.94,0.96,0.95,0.95,0.97,0.99,0.89,0.94,0.92
31014,0.85,0.85,0.89,0.91,0.92,0.9,0.9,0.89,0.88,0.91,0.92,0.88,0.86,0.9,0.92,0.92
31015,0.84,0.88,0.93,0.94,0.95,0.96,0.96,0.95,0.95,0.95,0.95,0.95,0.94,0.92,0.93,0.94
31016,0.88,0.85,0.9,0.92,0.95,0.9,0.92,0.96,0.98,0.93,0.96,0.98,0.96,0.99,0.98,0.98
31017,0.93,0.91,0.92,0.94,0.92,0.92,0.95,0.97,0.97,0.95,0.95,0.96,0.96,0.97,0.97,0.99
31018,0.9,0.88,0.93,0.93,0.93,0.95,0.97,0.97,0.97,0.94,0.95,0.96,0.96,0.96,0.96,0.97
31019,0.79,0.82,0.84,0.89,0.89,0.89,0.91,0.92,0.93,0.92,0.96,0.96,0.96,0.96,0.97,0.95
31020,0.88,0.92,0.94,0.93,0.93,0.93,0.92,0.92,0.91,0.9,0.93,0.91,0.9,0.9,0.91,0.93
31021,0.87,0.94,0.98,0.96,0.97,0.97,0.97,0.97,0.95,0.98,0.98,0.98,0.97,0.96,0.98,0.98
31022,0.88,0.88,0.92,0.94,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.99,0.98,0.98,0.98,0.98
31023,0.84,0.84,0.89,0.89,0.93,0.92,0.94,0.94,0.95,0.96,0.96,0.95,0.95,0.94,0.95,0.93
31024,0.8,0.83,0.85,0.9,0.89,0.89,0.93,0.94,0.96,0.92,0.96,0.97,0.96,0.98,0.99,0.98
31025,0.83,0.78,0.89,0.94,0.97,0.95,0.95,0.96,0.95,0.91,0.95,0.93,0.91,0.95,0.97,0.96
31026,0.87,0.86,0.92,0.95,0.95,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.98,0.95,0.98,0.98
31027,0.83,0.83,0.87,0.88,0.9,0.93,0.94,0.95,0.96,0.95,0.95,0.96,0.96,0.95,0.96,0.96
