CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
29015,0.39,0.42,0.46,0.49,0.51,0.53,0.57,0.58,0.61,0.65,0.67,0.69,0.71,0.71,0.73,0.77
29016,0.4,0.42,0.44,0.55,0.61,0.63,0.63,0.66,0.69,0.7,0.73,0.74,0.77,0.79,0.79,0.8
29017,0.36,0.35,0.38,0.41,0.47,0.52,0.58,0.63,0.71,0.72,0.74,0.75,0.76,0.78,0.79,0.8
29018,0.37,0.4,0.45,0.49,0.5,0.52,0.58,0.63,0.66,0.68,0.69,0.69,0.72,0.72,0.74,0.75
29019,0.39,0.39,0.42,0.52,0.58,0.59,0.67,0.7,0.73,0.74,0.77,0.78,0.78,0.8,0.83,0.84
29020,0.43,0.47,0.51,0.57,0.6,0.62,0.64,0.66,0.68,0.69,0.71,0.7,0.72,0.71,0.72,0.65
29021,0.43,0.49,0.52,0.58,0.61,0.61,0.67,0.68,0.68,0.71,0.75,0.77,0.79,0.79,0.8,0.83
29022,0.4,0.41,0.45,0.48,0.49,0.53,0.59,0.64,0.68,0.7,0.74,0.75,0.78,0.8,0.8,0.84
29023,0.45,0.46,0.47,0.5,0.55,0.58,0.6,0.62,0.67,0.7,0.71,0.76,0.78,0.78,0.79,0.81
29024,0.48,0.47,0.5,0.51,0.51,0.5,0.58,0.65,0.69,0.71,0.76,0.78,0.81,0.81,0.82,0.84
29025,0.4,0.39,0.4,0.43,0.46,0.49,0.58,0.6,0.61,0.65,0.67,0.71,0.73,0.75,0.77,0.8
29026,0.47,0.48,0.53,0.56,0.56,0.58,0.61,0.67,0.69,0.71,0.71,0.74,0.76,0.76,0.78,0.8
29027,0.34,0.36,0.39,0.43,0.46,0.47,0.5,0.55,0.57,0.6,0.62,0.65,0.68,0.66,0.7,0.72
29028,0.42,0.45,0.49,0.54,0.6,0.6,0.62,0.65,0.68,0.71,0.71,0.73,0.77,0.78,0.8,0.82
31001,0.61,0.67,0.72,0.73,0.68,0.63,0.73,0.76,0.77,0.79,0.87,0.86,0.88,0.87,0.86,0.88
31002,0.7,0.65,0.71,0.73,0.8,0.83,0.84,0.86,0.88,0.91,0.92,0.92,0.89,0.94,0.93,0.98
31003,0.72,0.71,0.78,0.84,0.86,0.86,0.86,0.89,0.88,0.86,0.88,0.86,0.87,0.88,0.89,0.89
31004,0.59,0.59,0.65,0.7,0.74,0.72,0.77,0.82,0.84,0.82,0.84,0.86,0.87,0.9,0.91,0.92
31005,0.63,0.6,0.62,0.61,0.6,0.64,0.71,0.74,0.78,0.78,0.8,0.8,0.79,0.82,0.87,0.86
31006,0.8,0.82,0.88,0.88,0.87,0.84,0.84,0.88,0.88,0.86,0.86,0.83,0.85,0.87,0.87,0.89
31007,0.66,0.68,0.75,0.8,0.78,0.78,0.83,0.83,0.83,0.85,0.85,0.86,0.87,0.89,0.92,0.91
31008,0.54,0.62,0.62,0.69,0.71,0.35,0.35,0.28,0.28,0.47,0.61,0.22,0.35,0.74,0.8,0.8
31009,0.52,0.67,0.74,0.76,0.78,0.82,0.83,0.83,0.81,0.82,0.84,0.84,0.84,0.85,0.86,0.85
31010,0.57,0.75,0.77,0.79,0.82,0.84,0.84,0.85,0.83,0.82,0.83,0.84,0.86,0.86,0.88,0.88
31011,0.56,0.57,0.68,0.72,0.73,0.78,0.8,0.82,0.84,0.85,0.86,0.86,0.89,0.87,0.88,0.9
31012,0.67,0.68,0.75,0.82,0.83,0.82,0.82,0.79,0.81,0.84,0.82,0.84,0.83,0.84,0.85,0.82
31013,0.55,0.52,0.67,0.74,0.75,0.78,0.79,0.83,0.87,0.87,0.87,0.91,0.92,0.83,0.9,0.87
31014,0.7,0.7,0.72,0.73,0.77,0.73,0.81,0.8,0.8,0.83,0.85,0.82,0.8,0.83,0.87,0.86
31015,0.6,0.7,0.76,0.8,0.84,0.86,0.86,0.86,0.87,0.89,0.87,0.9,0.87,0.85,0.86,0.87
31016,0.58,0.52,0.7,0.73,0.73,0.71,0.76,0.87,0.86,0.8,0.81,0.88,0.87,0.89,0.89,0.89
31017,0.7,0.77,0.71,0.81,0.8,0.81,0.88,0.88,0.89,0.87,0.89,0.89,0.88,0.88,0.88,0.91
31018,0.66,0.71,0.77,0.8,0.79,0.81,0.84,0.83,0.84,0.81,0.86,0.88,0.9,0.87,0.9,0.92
